url,label
homebakingmastery.com/wp-admin/Microsoftoutlook.update.login0,bad
statewidehomeinspections.net/wp-includes/js/usaapage2.php,bad
webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=97c2c420676d73ecc69d5934e61bbdaa97c2c420676d73ecc69d5934e61bbdaa,bad
esteticaskinlab.it/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/datamapper/dropbox,bad
esteticaskinlab.it/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/datamapper/dropbox/,bad
gemma.kz/modules/mod_php/tmp/tease/,bad
enjoyyourphotosnow.com/wp-content/themes/sketch/nice/msn/,bad
enjoyyourphotosnow.com/wp-content/themes/sketch/nice/msn,bad
flyonit247.com.au/errors/default/css/zabi/bin/auth_user/bin/infosperso?date=1457055176&skey=d24bb3d5b46ff9310544131f2ccc761e&user_credential=,bad
ristorantelecaveau.com/wp-includes/SimplePie/Content/Type/dropbox,bad
tehillamusic.com/wp-content/a,bad
supersignfactory.com/administrator/components/com_itunes-readmail/,bad
webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=f6b4f768a2212077dbdbece92cab1aa9f6b4f768a2212077dbdbece92cab1aa9,bad
webmail.mhcable.com/secure/www.paypal.com/websc-login.php,bad
24-148-96-13.ip.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=f6b4f768a2212077dbdbece92cab1aa9f6b4f768a2212077dbdbece92cab1aa9,bad
hetershaven.net/css/03496773043/09572370984380/001/3B762723737B2z.html,bad
tennyfoto.com/data/login/login/?agricole=_banque-run&amp;secure=5540zef1415405412104ef151511d7f84f5ze1f510eec8bd0e7987be2fcd223839ff1ef4fec197ac447987be2fcd223839ff1ef4fec197ac44,bad
tennyfoto.com/data/login/login/?agricole=_banque-run&amp;secure=5540zef1415405412104ef151511d7f84f5ze1f510eec8bd0e3e5e7814e5073818b42c67e7d21d40da3e5e7814e5073818b42c67e7d21d40da,bad
tennyfoto.com/data/login/login/?agricole=_banque-run&amp;secure=5540zef1415405412104ef151511d7f84f5ze1f510eec8bd0e35cbbc591da6aff8e16fa8ba397e0e6535cbbc591da6aff8e16fa8ba397e0e65,bad
tennyfoto.com/byada/login/?agricole=_banque-run,bad
inspiredhealth.co.nz/wp-includes/images/wlw/cache/6959097001d10501ac7d54c0bdb8db61420f658f2922cc26e46d536119a31126/5y654yty45tertrt435t,bad
gemma.kz/modules/mod_php/tmp/tease/index.html,bad
tirerepairsolutions.com/loding,bad
glo.li/1Qe13rc,bad
drive.google.com/st/auth/host/0B-Je_iZdqdFWTV8xRlEwYm16akE/index.html,bad
accounts.google.com/ServiceLogin?continue=https://drive.google.com/st/auth/host/0B-Je_iZdqdFWTV8xRlEwYm16akE/index.html,bad
51mct.com/js/?us.battle.net/login/en/?ref=rwqvszdus.battle.net/d3/en/index,bad
supersignfactory.com//administrator/components/com_itunes-readmail/,bad
sdafa.org/au/,bad
